imageurl,name,redirect,area,class,rateon99,rates,sold,Latitude,Longitude,ran
https://static.99acres.com/images/locationREI/defaultLocality.png,Santosh Nagar,https://www.99acres.com/property-rates-and-price-trends-in-santosh-nagar-pune-prffid#registry-transaction-prt,South Pune,N/A,,"₹ 3,281 /sq.ft",1,18.4392432,73.8580788,
https://mediacdn.99acres.com/media1/20427/6/408546912M-1676990407036.jpg,Old Sangvi,https://www.99acres.com/property-rates-and-price-trends-in-old-sangvi-pune-prffid#registry-transaction-prt,West Pune,N/A,,"₹ 4,947 /sq.ft",1,18.5729119,73.8183662,
https://static.99acres.com/images/locationREI/defaultLocality.png,Vishnupuram Colony,https://www.99acres.com/property-rates-and-price-trends-in-vishnupuram-colony-pune-prffid#registry-transaction-prt,South Pune,N/A,,"₹ 5,362 /sq.ft",1,18.4597213,73.8286733,
https://static.99acres.com/images/locationREI/defaultLocality.png,Yojana Nagar,https://www.99acres.com/property-rates-and-price-trends-in-yojana-nagar-pune-prffid#registry-transaction-prt,North Pune,N/A,,"₹ 5,093 /sq.ft",1,18.5896037,73.9493281,
https://static.99acres.com/images/locationREI/defaultLocality.png,Ganga Nagar,https://www.99acres.com/property-rates-and-price-trends-in-ganga-nagar-pune-prffid#registry-transaction-prt,East Pune,N/A,,"₹ 5,517 /sq.ft",1,18.4904527,73.9587593,
https://static.99acres.com/images/locationREI/defaultLocality.png,Gaikwad Vasti,https://www.99acres.com/property-rates-and-price-trends-in-gaikwad-vasti-pune-prffid#registry-transaction-prt,North Pune,N/A,,"₹ 7,214 /sq.ft",1,18.6877712,73.8507279,
https://static.99acres.com/images/locationREI/defaultLocality.png,Kadolkar Colony,https://www.99acres.com/property-rates-and-price-trends-in-kadolkar-colony-pune-prffid#registry-transaction-prt,Rest of Pune,N/A,,"₹ 4,804 /sq.ft",1,18.4956266,73.8586301,
https://static.99acres.com/images/locationREI/defaultLocality.png,Pawana Nagar,https://www.99acres.com/property-rates-and-price-trends-in-pawana-nagar-pune-prffid#registry-transaction-prt,Rest of Pune,N/A,,"₹ 11,760 /sq.ft",1,18.6057299,73.7941163,
https://static.99acres.com/images/locationREI/defaultLocality.png,Venu Nagar Cotes,https://www.99acres.com/property-rates-and-price-trends-in-venu-nagar-cotes-pune-prffid#registry-transaction-prt,West Pune,N/A,,"₹ 9,880 /sq.ft",1,18.6058929,73.7632304,
https://static.99acres.com/images/locationREI/defaultLocality.png,Dobarwadi,https://www.99acres.com/property-rates-and-price-trends-in-dobarwadi-pune-prffid#registry-transaction-prt,East Pune,N/A,,"₹ 12,030 /sq.ft",1,18.5207496,73.8979053,
https://static.99acres.com/images/locationREI/defaultLocality.png,Nira,https://www.99acres.com/property-rates-and-price-trends-in-nira-pune-prffid#registry-transaction-prt,Rest of Pune,N/A,,"₹ 2,653 /sq.ft",1,18.1021612,74.2119388,
https://static.99acres.com/images/locationREI/defaultLocality.png,Balaji Uddyam Nagar,https://www.99acres.com/property-rates-and-price-trends-in-balaji-uddyam-nagar-pune-prffid#registry-transaction-prt,Rest of Pune,N/A,,"₹ 9,447 /sq.ft",1,18.5508526,73.9201835,
https://static.99acres.com/images/locationREI/defaultLocality.png,Kemse Vasti,https://www.99acres.com/property-rates-and-price-trends-in-kemse-vasti-pune-prffid#registry-transaction-prt,Rest of Pune,N/A,,"₹ 10,005 /sq.ft",1,18.5989671,73.7499922,
https://static.99acres.com/images/locationREI/defaultLocality.png,Bankar Vasti,https://www.99acres.com/property-rates-and-price-trends-in-bankar-vasti-pune-prffid#registry-transaction-prt,North Pune,N/A,,"₹ 5,787 /sq.ft",1,18.6710184,73.840436,
https://static.99acres.com/images/locationREI/defaultLocality.png,Shramik Vasahat,https://www.99acres.com/property-rates-and-price-trends-in-shramik-vasahat-pune-prffid#registry-transaction-prt,Rest of Pune,N/A,,,1,18.5729901,73.8849075,
https://static.99acres.com/images/locationREI/defaultLocality.png,Erandwana Gaothan,https://www.99acres.com/property-rates-and-price-trends-in-erandwana-gaothan-pune-prffid#registry-transaction-prt,Rest of Pune,N/A,,"₹ 22,944 /sq.ft",1,18.507092,73.8352899,
https://static.99acres.com/images/locationREI/defaultLocality.png,Parkhe Vasti,https://www.99acres.com/property-rates-and-price-trends-in-parkhe-vasti-pune-prffid#registry-transaction-prt,West Pune,N/A,,"₹ 8,942 /sq.ft",1,18.5476177,73.7512065,
https://static.99acres.com/images/locationREI/defaultLocality.png,Gorhe Khurd,https://www.99acres.com/property-rates-and-price-trends-in-gorhe-khurd-pune-prffid#registry-transaction-prt,Rest of Pune,N/A,,"₹ 3,502 /sq.ft",1,18.4083034,73.7507276,
https://static.99acres.com/images/locationREI/defaultLocality.png,Bhosale,https://www.99acres.com/property-rates-and-price-trends-in-bhosale-pune-prffid#registry-transaction-prt,Rest of Pune,N/A,,"₹ 16,592 /sq.ft",1,18.4810058,73.9506866,
https://static.99acres.com/images/locationREI/defaultLocality.png,Dingrajwadi,https://www.99acres.com/property-rates-and-price-trends-in-dingrajwadi-pune-prffid#registry-transaction-prt,Rest of Pune,N/A,,"₹ 3,468 /sq.ft",1,18.6385602,74.0799469,
