imageurl,name,redirect,area,class,rateon99,rates,sold
https://static.99acres.com/images/locationREI/defaultLocality.png,Laxmi Nagar,https://www.99acres.com/property-rates-and-price-trends-in-laxmi-nagar-pune-prffid#registry-transaction-prt,Rest of Pune,,NA,"₹ 9,285 /sq.ft",9
https://static.99acres.com/images/locationREI/defaultLocality.png,Mukund Nagar,https://www.99acres.com/property-rates-and-price-trends-in-mukund-nagar-pune-prffid#registry-transaction-prt,Central Pune,,NA,"₹ 15,207 /sq.ft",9
https://static.99acres.com/images/locationREI/defaultLocality.png,Jambhe,https://www.99acres.com/property-rates-and-price-trends-in-jambhe-pune-prffid#registry-transaction-prt,Rest of Pune,,NA,"₹ 6,751 /sq.ft",9
https://static.99acres.com/images/locationREI/defaultLocality.png,Rajuri,https://www.99acres.com/property-rates-and-price-trends-in-rajuri-pune-prffid#registry-transaction-prt,Rest of Pune,,NA,"₹ 2,736 /sq.ft",9
https://static.99acres.com/images/locationREI/defaultLocality.png,Sahaney Sujan Park,https://www.99acres.com/property-rates-and-price-trends-in-sahaney-sujan-park-pune-prffid#registry-transaction-prt,Rest of Pune,,NA,"₹ 10,611 /sq.ft",8
https://static.99acres.com/images/locationREI/defaultLocality.png,Kirti Nagar,https://www.99acres.com/property-rates-and-price-trends-in-kirti-nagar-pune-prffid#registry-transaction-prt,Rest of Pune,,NA,"₹ 6,549 /sq.ft",8
https://mediacdn.99acres.com/media1/21397/2/427942146M-1686662958490.jpg,Aundh Gaon,https://www.99acres.com/property-rates-and-price-trends-in-aundh-gaon-pune-prffid#registry-transaction-prt,West Pune,,NA,"₹ 9,419 /sq.ft",8
https://static.99acres.com/images/locationREI/defaultLocality.png,Sai Colony,https://www.99acres.com/property-rates-and-price-trends-in-sai-colony-pune-prffid#registry-transaction-prt,East Pune,,NA,"₹ 6,656 /sq.ft",8
https://static.99acres.com/images/locationREI/defaultLocality.png,Nanekarwadi,https://www.99acres.com/property-rates-and-price-trends-in-nanekarwadi-pune-prffid#registry-transaction-prt,Rest of Pune,,NA,"₹ 5,404 /sq.ft",8
https://static.99acres.com/images/locationREI/defaultLocality.png,Navi Peth,https://www.99acres.com/property-rates-and-price-trends-in-navi-peth-pune-prffid#registry-transaction-prt,Central Pune,,NA,"₹ 8,147 /sq.ft",8
https://mediacdn.99acres.com/media1/20376/15/407535838M-1676473752063.jpg,Chinchwad Gaon,https://www.99acres.com/property-rates-and-price-trends-in-chinchwad-gaon-pune-prffid#registry-transaction-prt,West Pune,,NA,"₹ 8,453 /sq.ft",8
https://static.99acres.com/images/locationREI/defaultLocality.png,Lonikand,https://www.99acres.com/property-rates-and-price-trends-in-lonikand-pune-prffid#registry-transaction-prt,Rest of Pune,,NA,"₹ 4,842 /sq.ft",8
https://static.99acres.com/images/locationREI/defaultLocality.png,Sangamvadi,https://www.99acres.com/property-rates-and-price-trends-in-sangamvadi-pune-prffid#registry-transaction-prt,Central Pune,PREMIUM,"₹15,300/ sq.ft","₹ 16,667 /sq.ft",8
https://static.99acres.com/images/locationREI/defaultLocality.png,Mitra Mandal Colony,https://www.99acres.com/property-rates-and-price-trends-in-mitra-mandal-colony-pune-prffid#registry-transaction-prt,Central Pune,,NA,"₹ 7,617 /sq.ft",8
https://static.99acres.com/images/locationREI/defaultLocality.png,Renuka Nagar,https://www.99acres.com/property-rates-and-price-trends-in-renuka-nagar-pune-prffid#registry-transaction-prt,West Pune,,NA,"₹ 8,889 /sq.ft",8
https://static.99acres.com/images/locationREI/defaultLocality.png,Udyog Nagar,https://www.99acres.com/property-rates-and-price-trends-in-udyog-nagar-pune-prffid#registry-transaction-prt,East Pune,,NA,"₹ 8,460 /sq.ft",8
https://mediacdn.99acres.com/media1/21492/3/429843328M-1687614442304.jpg,Vishal Nagar,https://www.99acres.com/property-rates-and-price-trends-in-vishal-nagar-pune-prffid#registry-transaction-prt,West Pune,,NA,"₹ 6,952 /sq.ft",8
https://static.99acres.com/images/locationREI/defaultLocality.png,Samson Nagar,https://www.99acres.com/property-rates-and-price-trends-in-samson-nagar-pune-prffid#registry-transaction-prt,Rest of Pune,,NA,"₹ 4,655 /sq.ft",8
https://static.99acres.com/images/locationREI/defaultLocality.png,Kasurdi,https://www.99acres.com/property-rates-and-price-trends-in-kasurdi-pune-prffid#registry-transaction-prt,Rest of Pune,,NA,"₹ 4,261 /sq.ft",8
https://static.99acres.com/images/locationREI/defaultLocality.png,Padali,https://www.99acres.com/property-rates-and-price-trends-in-padali-pune-prffid#registry-transaction-prt,Rest of Pune,,NA,"₹ 3,121 /sq.ft",8
https://static.99acres.com/images/locationREI/defaultLocality.png,Eklavya Colony,https://www.99acres.com/property-rates-and-price-trends-in-eklavya-colony-pune-prffid#registry-transaction-prt,Rest of Pune,,NA,"₹ 6,759 /sq.ft",7
https://static.99acres.com/images/locationREI/defaultLocality.png,Balewadi Phata,https://www.99acres.com/property-rates-and-price-trends-in-balewadi-phata-pune-prffid#registry-transaction-prt,West Pune,PREMIUM,"₹9,550/ sq.ft","₹ 10,337 /sq.ft",7
https://static.99acres.com/images/locationREI/defaultLocality.png,Subhash Nagar,https://www.99acres.com/property-rates-and-price-trends-in-subhash-nagar-pune-prffid#registry-transaction-prt,Rest of Pune,,NA,"₹ 8,506 /sq.ft",7
https://static.99acres.com/images/locationREI/defaultLocality.png,Nimbaj Nagar,https://www.99acres.com/property-rates-and-price-trends-in-nimbaj-nagar-pune-prffid#registry-transaction-prt,West Pune,,NA,"₹ 8,070 /sq.ft",7
https://static.99acres.com/images/locationREI/defaultLocality.png,Raghavendra Nagar,https://www.99acres.com/property-rates-and-price-trends-in-raghavendra-nagar-pune-prffid#registry-transaction-prt,East Pune,,NA,"₹ 11,352 /sq.ft",7
https://static.99acres.com/images/locationREI/defaultLocality.png,Bhairavnath Nagar,https://www.99acres.com/property-rates-and-price-trends-in-bhairavnath-nagar-pune-prffid#registry-transaction-prt,South Pune,,NA,"₹ 7,762 /sq.ft",7
https://static.99acres.com/images/locationREI/defaultLocality.png,Ramtekadi,https://www.99acres.com/property-rates-and-price-trends-in-ramtekadi-pune-prffid#registry-transaction-prt,East Pune,,NA,"₹ 7,261 /sq.ft",7
https://static.99acres.com/images/locationREI/defaultLocality.png,Police Colony,https://www.99acres.com/property-rates-and-price-trends-in-police-colony-pune-prffid#registry-transaction-prt,Rest of Pune,,NA,"₹ 10,897 /sq.ft",7
https://mediacdn.99acres.com/media1/21287/13/425753098M-1685544264107.jpg,Clover Park,https://www.99acres.com/property-rates-and-price-trends-in-clover-park-pune-prffid#registry-transaction-prt,North Pune,PREMIUM,"₹10,250/ sq.ft","₹ 11,075 /sq.ft",7
https://static.99acres.com/images/locationREI/defaultLocality.png,Ambegaon Pathar,https://www.99acres.com/property-rates-and-price-trends-in-ambegaon-pathar-pune-prffid#registry-transaction-prt,South Pune,,NA,"₹ 6,571 /sq.ft",7
https://static.99acres.com/images/locationREI/defaultLocality.png,Sahakar Nagar,https://www.99acres.com/property-rates-and-price-trends-in-sahakar-nagar-pune-prffid#registry-transaction-prt,South Pune,,NA,"₹ 13,794 /sq.ft",7
https://static.99acres.com/images/locationREI/defaultLocality.png,Mohan Nagar,https://www.99acres.com/property-rates-and-price-trends-in-mohan-nagar-pune-prffid#registry-transaction-prt,West Pune,,NA,"₹ 6,573 /sq.ft",7
https://static.99acres.com/images/locationREI/defaultLocality.png,Tanaji Nagar,https://www.99acres.com/property-rates-and-price-trends-in-tanaji-nagar-pune-prffid#registry-transaction-prt,Rest of Pune,,NA,"₹ 9,920 /sq.ft",7
https://static.99acres.com/images/locationREI/defaultLocality.png,Paud,https://www.99acres.com/property-rates-and-price-trends-in-paud-pune-prffid#registry-transaction-prt,Rest of Pune,,NA,"₹ 4,903 /sq.ft",7
https://static.99acres.com/images/locationREI/defaultLocality.png,Jay Mallhar Colony,https://www.99acres.com/property-rates-and-price-trends-in-jay-mallhar-colony-pune-prffid#registry-transaction-prt,Rest of Pune,,NA,"₹ 8,238 /sq.ft",7
https://static.99acres.com/images/locationREI/defaultLocality.png,Kedgaon Station,https://www.99acres.com/property-rates-and-price-trends-in-kedgaon-station-pune-prffid#registry-transaction-prt,Rest of Pune,,NA,"₹ 3,635 /sq.ft",7
